publishedAt,authorDisplayName,textDisplay,likeCount
2025-11-09T12:47:55Z,@ChanoenkMurka,GK kyk aslinya,0
2025-11-09T12:24:45Z,@ujealbukhori-77,Anjir MBG PRASMANAN COK!! 😭😭😭,0
2025-11-09T12:24:20Z,@adindanovita-c1v,Terima kasih pak Bowo kami sudah dapat mnh di  SD   1  lahat 🎉🎉👍🏻👍🏻🥰🥰🥰❤❤❤🍈🍈🧃🧃🧃,0
2025-11-09T11:56:09Z,@norininx,MBG=makanan beracun gratis🗿,0
2025-11-09T11:14:14Z,@vriskahutasoit787,Bagi jo,0
2025-11-09T11:04:41Z,@MelyartiKuswarini,Kak rekueds rendang kak 😅😅😅,0
2025-11-09T11:02:11Z,@GustiniIndrayanti,Makasih pak perabowo Kami sudah dapat mbg di SD 161 palembang makasih ya🤭,0
2025-11-09T10:46:57Z,@tasyrifuchok,M makanan<br><br>B beracun<br><br>G gratis,0
2025-11-09T10:41:01Z,@ujjayastore6839,Kok kayak MBG di sekolah ku ya,0
2025-11-09T10:21:36Z,@SaskiaPutri-n7c,Ka ko aku belum di esde N 1bantar,0
2025-11-09T10:20:21Z,@PutraRafael-y9m,Hati-hati soalnya MBG itu singkatan nya makanan beracun gratis,0
2025-11-09T09:43:33Z,@Realmecedua-c3o,SD N 2 bangunrejo belom semua kepengen,0
2025-11-09T09:04:59Z,@BambangPurwanto-w2b,Tapi sekolah saya belum dapat jadi saya sedih name sekolah: SDN panjunan 😢,0
2025-11-09T09:03:17Z,@Ice-s1b1j,akumah paling juga pasti habis pas makannya habis dimasak langsung dimakan kan enak,1
2025-11-09T08:37:24Z,@alikhaahmed,Besok aku dapat mbg juga tau❤😊,0
2025-11-09T08:35:09Z,@endangsusilowati3364,Di sdit ada mbg juga😅,0
2025-11-09T08:18:22Z,@helmyopus5548,Anjay makan gratis eh itu makan gratis atau bukan ya kalau bukan tanya aja chat aku ya awas kalau awas ya harus adanya hari Senin makan gratis lagi enggak kali kami kalau makan gratis i love you ya kamu suka kok tontonan ini,0
2025-11-09T07:30:30Z,@Ftbl-A1eo,sampai ketemu di rumah sakit :(,0
